Product ID,Product Name,Category,Cost Price,Description
PROD001,Smartphone,Electronics,749,"Latest model with 5G, dual SIM, and OLED display"
PROD002,Action Figure,Toys,39,Collectible superhero action figure for ages 8+
PROD003,Cookware Set,Home,129,Non-stick 5-piece cookware set for daily use
PROD004,Leg Set,Toys,59,300-piece creative building block toy set
PROD005,T-Shirt,Fashion,25,"Cotton t-shirt, available in multiple colors"
PROD006,Shoes,Fashion,89,Casual wear shoes for men and women
PROD007,Puzzle,Toys,29,1000-piece jigsaw puzzle
PROD008,Textbook,Books,65,University-level textbook on computer science
PROD009,Magazine,Books,10,Monthly lifestyle magazine
PROD010,Jeans,Fashion,55,Slim fit denim jeans with stretch
PROD011,Headphones,Electronics,159,Wireless noise-cancelling over-ear headphones
PROD012,Lamp,Home,42,LED desk lamp with dimmable light
PROD013,Vacuum Cleaner,Home,185,Portable cordless vacuum cleaner
PROD014,Smartwatch,Electronics,229,Fitness-focused smartwatch with heart rate monitoring
PROD015,Novel,Books,20,Best-selling fiction novel
PROD016,Cookware Set Pro,Home,199,Premium 10-piece stainless steel cookware collection
PROD017,Gaming Mouse,Electronics,69,High DPI gaming mouse with RGB lighting
PROD018,Doll House,Toys,89,Wooden doll house with accessories
PROD019,Formal Shirt,Fashion,40,Long-sleeve formal shirt for office wear
PROD020,Bluetooth Speaker,Electronics,99,Portable speaker with deep bass and 12h battery life
PROD021,Wall Clock,Home,34,Silent quartz wall clock with modern design
PROD022,Backpack,Fashion,60,Waterproof backpack with laptop compartment
